pozisyon,sirket,sehir,aciklama,gereksinimler
Frontend Developer,VeriPlus,Kocaeli,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi"
Java Yazılım Mühendisi,BüyükVeri Ltd.,Antalya,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Frontend Developer,Techsoft,Gaziantep,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi"
Python Geliştiricisi,Mobilify,Kocaeli,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İyi derecede İngilizce bilgisi, Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık"
Veri Analisti,Techsoft,Bursa,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İyi derecede İngilizce bilgisi, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak"
Mobil Uygulama Geliştiricisi,VeriPlus,Kocaeli,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği"
Frontend Developer,BüyükVeri Ltd.,İzmir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Makine Öğrenmesi Uzmanı,DataTech,Ankara,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık"
Veri Mühendisi,DeepAI,Kocaeli,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İlgili teknolojilerde bilgi ve tecrübe, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Java Yazılım Mühendisi,DeepAI,Gaziantep,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe"
Frontend Developer,DataTech,Antalya,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, Problem çözme becerisi"
Frontend Developer,KodaYazılım,Bursa,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe"
Frontend Developer,VeriPlus,Bursa,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi"
Veri Analisti,KodaYazılım,Eskişehir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Mobil Uygulama Geliştiricisi,BüyükVeri Ltd.,Eskişehir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık"
Python Geliştiricisi,VeriPlus,Antalya,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak"
Python Geliştiricisi,VeriPlus,Gaziantep,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi"
Mobil Uygulama Geliştiricisi,DeepAI,İstanbul,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Web Geliştirici,Techsoft,Gaziantep,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi"
Mobil Uygulama Geliştiricisi,Techsoft,Kocaeli,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe"
Java Yazılım Mühendisi,DeepAI,Gaziantep,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Problem çözme becerisi, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Makine Öğrenmesi Uzmanı,Mobilify,Kocaeli,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık"
Veri Analisti,Techsoft,Gaziantep,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği"
Web Geliştirici,Techsoft,Eskişehir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Analitik düşünme yeteneği, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi"
Frontend Developer,Mobilify,Gaziantep,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe"
Python Geliştiricisi,WebZone,Antalya,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi"
Python Geliştiricisi,WebZone,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Python Geliştiricisi,KodaYazılım,Ankara,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık"
Makine Öğrenmesi Uzmanı,VeriPlus,Kocaeli,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık"
Veri Mühendisi,Techsoft,Antalya,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi"
Veri Mühendisi,BüyükVeri Ltd.,İstanbul,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Frontend Developer,BüyükVeri Ltd.,Eskişehir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği"
Makine Öğrenmesi Uzmanı,KodaYazılım,Kocaeli,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi"
Veri Mühendisi,BüyükVeri Ltd.,Eskişehir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi"
Java Yazılım Mühendisi,VeriPlus,Kocaeli,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi"
Veri Analisti,Mobilify,Antalya,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Makine Öğrenmesi Uzmanı,Mobilify,İstanbul,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık"
Java Yazılım Mühendisi,Techsoft,Ankara,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi"
Python Geliştiricisi,DeepAI,Antalya,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe"
Frontend Developer,WebZone,Kocaeli,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Problem çözme becerisi, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, En az 3 yıl yazılım geliştirme deneyimi"
Veri Analisti,BüyükVeri Ltd.,İstanbul,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi"
Frontend Developer,DeepAI,Antalya,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi"
Mobil Uygulama Geliştiricisi,BüyükVeri Ltd.,Kocaeli,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık"
Web Geliştirici,BüyükVeri Ltd.,Antalya,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak"
Makine Öğrenmesi Uzmanı,Techsoft,Antalya,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Web Geliştirici,VeriPlus,İzmir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe"
Veri Mühendisi,KodaYazılım,Gaziantep,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi"
Python Geliştiricisi,BüyükVeri Ltd.,İstanbul,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi"
Veri Mühendisi,DataTech,İstanbul,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi"
Mobil Uygulama Geliştiricisi,DataTech,İzmir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Mobil Uygulama Geliştiricisi,DataTech,Kocaeli,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık"
Mobil Uygulama Geliştiricisi,DeepAI,Antalya,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak"
Python Geliştiricisi,WebZone,Antalya,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi"
